# Shared re-anchoring fixtures: mapping a stored line range through the
# hunks of a diff.
#
# The SAME rules live twice right now — internal/host/reanchor.go and
# app/src/anchor.zig — and this file is what stops them drifting. Both
# test suites read it and must agree on every row. Mirrored hand-written
# tests only prove each side passes the cases its own author thought of;
# this proves they answer the same question the same way.
#
# When the port completes and one implementation is deleted, this file
# stays: it is the spec for the arithmetic, not scaffolding for the
# migration.
#
# Format, '|'-separated, fields trimmed:
#
#   name | hunks | start end | want_start want_end outdated
#
# hunks: space-separated groups of `old_start,old_count,new_start,new_count`
#        in ascending old-file order, exactly as `git diff --unified=0`
#        emits them. Empty means no hunks.
# start end: the 1-based inclusive stored range, in OLD-file coordinates.
# outdated: true when the anchored lines themselves changed, in which
#        case want_start/want_end are the STORED range — an outdated
#        anchor renders from where it was, never from a guess.
#
# Both parsers assert they read exactly this many cases, so a row one
# side skips is a failure rather than a silent gap.
# cases: 16

no hunks                                  |                   | 5 7   | 5 7   false
insertion above shifts down               | 2,0,3,2           | 5 7   | 7 9   false
deletion above shifts up                  | 1,3,1,0           | 10 12 | 7 9   false
replacement above shifts by delta         | 1,2,1,5           | 10 12 | 13 15 false
change below is invisible                 | 20,2,20,4         | 5 7   | 5 7   false
edit inside range outdates                | 6,1,6,1           | 5 7   | 5 7   true
edit overlapping start outdates           | 3,4,3,1           | 5 7   | 5 7   true
insertion strictly inside outdates        | 5,0,6,2           | 5 7   | 5 7   true
insertion at range start shifts           | 4,0,5,2           | 5 7   | 7 9   false
insertion at range end is below           | 7,0,8,2           | 5 7   | 5 7   false
whole range deleted outdates              | 4,6,4,0           | 5 7   | 5 7   true

# Multi-hunk: deltas accumulate, and a verdict of outdated beats any
# shift already accumulated above it.
two insertions above accumulate           | 1,0,2,1 3,0,5,2   | 5 7   | 8 10  false
insertion above with change below         | 1,0,2,2 20,3,22,1 | 5 7   | 7 9   false
outdated wins over an accumulated shift   | 1,2,1,0 6,1,4,1   | 5 7   | 5 7   true

# Single-line anchors, where the between-lines meaning of a pure
# insertion is at its sharpest: at the anchor it is below, one line up it
# shifts.
insertion at a single-line anchor is below| 5,0,6,1           | 5 5   | 5 5   false
insertion just above a single-line anchor | 4,0,5,1           | 5 5   | 6 6   false
